Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
2021-07-12 4:09 PM,2021-07-12 6:07 PM,PDT,119,106,13,0
2021-07-11 11:01 PM,2021-07-12 6:55 AM,PDT,474,451,22,1
2021-07-10 11:36 PM,2021-07-11 8:55 AM,PDT,560,531,28,0
2021-07-09 11:30 PM,2021-07-10 8:30 AM,PDT,540,515,25,0
2021-07-07 11:18 PM,2021-07-08 7:51 AM,PDT,512,473,39,0
2021-07-07 12:00 AM,2021-07-07 8:55 AM,PDT,536,492,38,5
2021-07-05 6:48 PM,2021-07-06 9:00 AM,PDT,852,724,106,22
2021-07-05 2:13 AM,2021-07-05 1:04 PM,PDT,652,500,109,42
2021-07-03 9:30 PM,2021-07-04 9:48 AM,PDT,738,645,91,2
2021-07-02 10:16 PM,2021-07-03 7:30 AM,PDT,554,519,35,0
2021-07-01 10:49 PM,2021-07-02 8:55 AM,PDT,606,553,50,3
2021-06-30 11:02 PM,2021-07-01 7:48 AM,PDT,526,496,30,0
2021-06-29 10:00 PM,2021-06-30 7:22 AM,PDT,563,532,27,3
2021-06-28 10:26 PM,2021-06-29 7:39 AM,PDT,553,519,33,1
2021-06-27 9:50 PM,2021-06-28 8:59 AM,PDT,669,590,61,18
2021-06-27 12:40 AM,2021-06-27 8:30 AM,PDT,469,438,31,1
2021-06-25 11:12 PM,2021-06-26 9:27 AM,PDT,615,573,43,0
2021-06-24 10:10 PM,2021-06-25 8:52 AM,PDT,642,584,58,1
2021-06-23 11:27 PM,2021-06-24 8:19 AM,PDT,532,502,30,0
2021-06-22 11:34 PM,2021-06-23 7:15 AM,PDT,461,429,32,0
2021-06-22 12:31 AM,2021-06-22 7:59 AM,PDT,448,423,25,0
2021-06-20 11:21 PM,2021-06-21 7:53 AM,PDT,512,484,24,3
2021-06-19 10:23 PM,2021-06-20 8:34 AM,PDT,610,579,31,0
2021-06-18 9:23 PM,2021-06-19 6:32 AM,PDT,550,479,51,19
2021-06-17 10:55 PM,2021-06-18 7:58 AM,PDT,543,503,35,5
2021-06-17 12:11 AM,2021-06-17 8:19 AM,PDT,488,464,24,0
2021-06-16 12:41 AM,2021-06-16 7:58 AM,PDT,437,423,14,0
2021-06-14 11:20 PM,2021-06-15 8:16 AM,PDT,536,507,27,2
2021-06-13 9:30 PM,2021-06-14 7:30 AM,PDT,600,562,38,0
2021-06-11 11:24 PM,2021-06-12 8:10 AM,PDT,526,481,42,3
2021-06-10 10:27 PM,2021-06-11 8:00 AM,PDT,572,529,43,0
2021-06-09 10:51 PM,2021-06-10 8:07 AM,PDT,557,534,22,0
2021-06-08 10:00 PM,2021-06-09 7:17 AM,PDT,557,530,24,4
2021-06-07 10:25 PM,2021-06-08 7:00 AM,PDT,515,488,28,0
2021-06-06 10:24 PM,2021-06-07 7:16 AM,PDT,532,511,21,0
2021-06-06 12:04 AM,2021-06-06 9:42 AM,PDT,578,498,70,10
2021-06-04 11:39 PM,2021-06-05 7:48 AM,PDT,489,473,17,0
2021-06-03 9:53 PM,2021-06-04 8:58 AM,PDT,664,613,51,0
2021-06-02 10:36 PM,2021-06-03 2:00 AM,PDT,204,197,7,0
2021-06-02 10:30 PM,2021-06-03 6:30 AM,PDT,480,0,0,0
2021-06-01 10:00 PM,2021-06-02 9:08 AM,PDT,667,608,59,1
2021-05-31 11:41 PM,2021-06-01 8:30 AM,PDT,529,496,28,5
2021-05-29 11:45 PM,2021-05-30 9:28 AM,PDT,584,535,49,0
2021-05-29 2:16 PM,2021-05-29 8:04 PM,PDT,348,296,37,16
2021-05-28 10:51 PM,2021-05-29 9:36 AM,PDT,644,571,53,21
