Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
4/20/2021 21:30,4/21/2021 6:37,PDT,547,448,86,14
4/19/2021 22:17,4/20/2021 6:59,PDT,522,491,21,10
4/18/2021 23:46,4/19/2021 8:56,PDT,550,512,34,4
4/17/2021 23:29,4/18/2021 8:42,PDT,554,483,58,13
4/16/2021 23:00,4/17/2021 7:18,PDT,498,472,26,0
4/15/2021 23:26,4/16/2021 6:21,PDT,415,394,21,0
4/15/2021 0:04,4/15/2021 7:33,PDT,449,431,18,0
4/13/2021 23:50,4/14/2021 7:28,PDT,458,424,27,6
4/12/2021 22:47,4/13/2021 8:48,PDT,602,532,55,15
4/11/2021 23:59,4/12/2021 7:20,PDT,441,420,21,0
4/10/2021 23:20,4/11/2021 8:00,PDT,519,479,37,3
4/9/2021 19:07,4/10/2021 6:46,PDT,699,549,134,16
4/8/2021 23:45,4/9/2021 8:05,PDT,500,468,32,0
4/7/2021 23:58,4/8/2021 7:50,PDT,472,444,28,0
4/7/2021 0:30,4/7/2021 7:30,PDT,420,405,15,0
4/5/2021 21:54,4/6/2021 7:58,PDT,604,568,30,6
4/5/2021 0:02,4/5/2021 7:46,PDT,464,445,20,0
4/4/2021 1:03,4/4/2021 7:58,PDT,414,395,15,4
4/2/2021 23:11,4/3/2021 7:32,PDT,501,485,16,0
4/2/2021 0:39,4/2/2021 7:52,PDT,433,422,11,0
4/1/2021 0:19,4/1/2021 7:52,PDT,452,430,22,0
3/30/2021 23:45,3/31/2021 7:00,PDT,435,0,0,0
3/29/2021 22:36,3/30/2021 7:42,PDT,547,524,22,0
3/29/2021 0:08,3/29/2021 9:30,PDT,562,478,77,7
3/28/2021 1:39,3/28/2021 7:40,PDT,361,342,19,0
3/25/2021 23:09,3/26/2021 6:42,PDT,454,434,19,0
3/24/2021 20:20,3/25/2021 7:00,PDT,640,536,91,13
3/23/2021 23:26,3/24/2021 6:40,PDT,433,408,26,0
3/22/2021 23:31,3/23/2021 9:07,PDT,576,541,33,2
3/21/2021 23:26,3/22/2021 7:30,PDT,483,445,35,3
3/19/2021 22:48,3/20/2021 8:27,PDT,579,512,44,23
3/19/2021 0:50,3/19/2021 7:54,PDT,424,399,25,0
3/17/2021 22:58,3/18/2021 8:13,PDT,554,509,43,2
3/16/2021 23:25,3/17/2021 8:10,PDT,525,504,21,0
3/16/2021 0:09,3/16/2021 8:25,PDT,496,457,39,0
3/14/2021 22:59,3/15/2021 10:31,PDT,691,581,90,20
3/14/2021 3:39,3/14/2021 8:15,PDT,277,267,10,0
3/11/2021 23:31,3/12/2021 7:17,PDT,466,447,18,0
3/11/2021 0:50,3/11/2021 8:17,PDT,447,429,18,0
3/10/2021 0:45,3/10/2021 7:49,PDT,424,398,26,0
3/8/2021 22:48,3/9/2021 8:00,PDT,552,519,33,0
3/7/2021 23:29,3/8/2021 7:43,PDT,493,463,29,1
3/6/2021 23:25,3/7/2021 6:44,PDT,439,397,32,10
3/4/2021 0:01,3/4/2021 8:03,PDT,482,457,21,4
3/2/2021 23:47,3/3/2021 8:25,PDT,518,484,33,0
3/2/2021 0:38,3/2/2021 5:50,PDT,312,297,14,0
2/28/2021 23:13,3/1/2021 6:36,PDT,443,423,20,0
2/27/2021 23:10,2/28/2021 8:37,PDT,568,539,29,0
